keys,cn,en
tooltip_preview,预览反应情况。不会收集预览添加的能量，因此也不用担心爆了。\n使用后本回合费用+1,"Preview the reaction. The energy added by the preview will not be collected, so don't worry about the engine crashing. \n The cost of this round +1 after use"
tooltip_submit,提交能量，完成任务，获得对应的金钱,"Submit energy, complete the task, and get the corresponding money."
tooltip_restart,重新开始,Restart
tooltip_menu,返回主界面,Back to menu

tooltip_graph,表示任务所需能量和安全范围的曲线,Graph of the energy required and the safe range of the task
graph_tooltip_goal_min,完成任务所需的最低能量,The minimum energy required to complete the task
graph_tooltip_goal_max,安全阈值，超过这个值会爆炸,"The safe threshold, exceeding this value will explode"
graph_tooltip_reward_min,完成任务至少能获得的金钱,The minimum money you can get for completing the task
graph_tooltip_reward_max,完成任务最多能获得的金钱,The maximum money you can get for completing the task
graph_tooltip_energy,当前能量,Current energy
graph_tooltip_reward,此时提交能量所获得的金钱,The money obtained by submitting energy at this time

win,你过关！\n难度：{difficulty}\n剩余金钱：{money},You win!\nDifficulty: {difficulty}\nRemaining money: {money}
game over,游戏结束,Game Over
game_over_explode,彻底爆了！\n（提示：避免添加过多反应。当你不确定时，多使用预览）,"Boom!\n(Tip: Avoid adding too many reactions. When you are not sure, use preview mode)"
game_over_money,你没有足够的金钱生产,You don't have enough money to produce.
message_turn_start,"任务{level}{difficulty}\n{mutation}最低能量：{goal_min},安全阈值：{goal_max}","Task {level}\nSpecial: {mutation}\nMinimum energy: {goal_min}, Safe threshold: {goal_max}"
message_new_color,增加{color}，基础费用增加，反应炉尺寸扩大至{size}格,"Add {color}, the reactor size is expanded to {size}"
message_more_energy,能量需求增加,"Energy requirements increase"
message_explode,爆了！\n你的能量超过了安全阈值{safe}，好在有保险保护\n本次生产无效,"Boom!\nYour energy has exceeded the safe threshold {safe}, but you have insurance to protect you.\nThis production is invalid."

level_count,任务数,Tasks Count
difficulty_0,简单难度,Easy
difficulty_0_detail,适合新手，各种资源充足，任务容易完成,"For beginners, abundant resources, tasks"
difficulty_1,普通难度,Normal
difficulty_1_detail,资源较多，任务较容易完成,"More resources, easier tasks"
difficulty_2,困难难度,Hard
difficulty_2_detail,每个回合都有特殊情况\n资源较少，任务较难完成,"Special situations in each round\nFewer resources, harder tasks"
difficulty_3,地狱难度,Unfair
difficulty_3_detail,每个回合都有特殊情况\n任务更难完成\n但作者是可以通关这个难度的！,"Special situations in each round\nVery few resources, very hard tasks\nBut the author can pass this difficulty!"

white,白色,White
red,红色,Red
green,绿色,Green
blue,蓝色,Blue
yellow,黄色,Yellow
magenta,粉色,Megenta
cyan,青色,Cyan

mutation,特殊,Special
mutation_more_color,{color}生成的概率增加1倍,The probability of generating {color} increases by 100%
mutation_odd_column_color,奇数列生成{color}的概率增加2倍,The probability of generating {color} in odd columns increases by 200%
mutation_column_color,第{column}列生成{color}的概率增加5倍,The probability of generating {color} in column {column} increases by 500%
mutation_no_color,不会生成{color},Will not generate {color}
mutation_more_area,反应堆尺寸提高至{size}格,The size of the reactor is increased to {size}
mutation_less_area,反应堆尺寸降低至{size}格,The size of the reactor is reduced to {size}
mutation_hard_produce,生产花费更多金钱，但是预览花费的金钱降低,"Production costs more money, but the cost of previewing is reduced"
mutation_more_goal,任务最低要求能量提高,"The minimum energy required for the task is increased"
mutation_less_safe,安全范围缩小,"The safe range is reduced"
